Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	7	1.7456359102244388	1.3125368097633433E-5	PER3, CRY2, BHLHE41, PER1B, PER1A, NR1D1, CIARTA	211	45	17990	13.262769878883626	0.0067759244866983925	0.0067858153064764845	0.006759564570281218
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	13	3.2418952618453867	1.5954837116588637E-5	UHRF1, CCNA2, CHAF1A, DMTF1, POC5, CDCA7B, SDE2, SASS6, RAD17, MCM4, MCM5, MCM6, E2F7	52	280	5022	4.483928571428572	6.69884032085899E-4	6.701031588967227E-4	6.701031588967227E-4
UP_SEQ_FEATURE	DOMAIN:B box-type	12	2.9925187032418954	5.909153965548136E-5	FTR73, FTR76, FTR43, TRIM35-13, ZGC:92594, FTR34, FTR56, FTR88, FTR14, FTR91, FTR72, FTR93	331	190	24416	4.658801081252982	0.017629822642496795	0.01778655343629989	0.017727461896644408
GOTERM_BP_DIRECT	GO:0007049~cell cycle	13	3.2418952618453867	7.936528466859504E-5	UHRF1, CCNA2, ASPM, CHAF1A, DMTF1, POC5, SDE2, SASS6, RAD17, MCM4, MCM5, MCM6, E2F7	211	269	17990	4.120403812611215	0.04027917964679151	0.016260136193458702	0.01619723431263294
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	24	5.985037406483791	8.426434815220847E-5	FTR73, FTR76, FTR43, TRIM35-13, ZGC:92594, FTR34, FTR56, UHRF1, FTR88, FTR14, NR1D1, DYTN, SRSF7A, RECQL4, NR1D4B, SI:DKEY-9K7.3, ZNFX1, NR1D2B, NR5A5, TCEA3, XAF1, FTR91, FTR72, FTR93	196	822	16808	2.5037985997318635	0.021506483216867545	0.021740201823269786	0.02148740877881316
GOTERM_BP_DIRECT	GO:0006260~DNA replication	8	1.99501246882793	9.43528212386385E-5	RECQL4, CHAF1A, POLN, SDE2, MCM4, MCM5, MCM6, DNA2	211	91	17990	7.495442945679913	0.047701808892431696	0.016260136193458702	0.01619723431263294
UP_SEQ_FEATURE	DOMAIN:RNase H type-1	4	0.997506234413965	1.9347546589199596E-4	LOC101882375, LOC101886882, LOC103908724, LOC110437969	331	9	24416	32.784155756965426	0.05657815197852056	0.029118057616745394	0.029021319883799395
UP_KW_MOLECULAR_FUNCTION	KW-0347~Helicase	8	1.99501246882793	2.7593840636969423E-4	RECQL4, MOV10B.1, LOC101886064, DDX23, MCM4, MCM5, MCM6, DNA2	105	116	9466	6.217405582922825	0.014792234052157904	0.014900673943963489	0.014900673943963489
GOTERM_MF_DIRECT	GO:0017116~single-stranded DNA-dependent ATP-dependent DNA helicase activity	4	0.997506234413965	3.1317024722369034E-4	MCM4, MCM5, DNA2, CHTF18	196	12	16808	28.58503401360544	0.07763160840122629	0.04039896189185605	0.03992920652102052
INTERPRO	IPR000315:Zinc finger, B-box	8	1.99501246882793	3.3999254561532663E-4	FTR73, FTR43, ZGC:92594, FTR56, FTR88, FTR14, FTR72, FTR93	208	109	17276	6.095977417078335	0.13485785124838023	0.14483682443212914	0.14449683188651383
SMART	SM00336:BBOX	8	1.99501246882793	3.9628071512316435E-4	FTR73, FTR43, ZGC:92594, FTR56, FTR88, FTR14, FTR72, FTR93	123	105	9474	5.868524970963995	0.043800394942477894	0.044779720808917574	0.044779720808917574
GOTERM_BP_DIRECT	GO:0043153~entrainment of circadian clock by photoperiod	4	0.997506234413965	7.848982158821986E-4	PER3, CRY2, PER1B, PER1A	211	16	17990	21.315165876777254	0.3341806691597371	0.10144809440277418	0.10105564529483307
GOTERM_MF_DIRECT	GO:0001222~transcription corepressor binding	3	0.7481296758104738	7.912412756575665E-4	PER3, PER1B, PER1A	196	4	16808	64.31632653061224	0.1847178699806653	0.06804674970655071	0.06725550843089315
INTERPRO	IPR022728:Period circadian-like, C-terminal	3	0.7481296758104738	8.437844649318391E-4	PER3, PER1B, PER1A	208	4	17276	62.29326923076924	0.3020472818157447	0.17972609103048173	0.17930419879801582
GOTERM_CC_DIRECT	GO:0005634~nucleus	74	18.453865336658353	0.001421882105085189	BHLHE41, CHTF18, LOC100535468, CHAF1A, SI:CH211-132B12.7, CDCA7B, SOX1A, METTL16, PRMT7, ZGC:113119, CRABP2A, WDR76, CCNA2, ASPM, NR1D2B, NR5A5, DMTF1, IRF3, HMGB3A, CRY2, SDE2, MCM4, MCM5, MCM6, DNA2, KIF20A, CIARTA, BLF, VOX, SI:CH73-221F6.1, SI:CH73-52F15.5, AIRE, UHRF1, TEFA, NPM1A, USP18, HSPA13, RAD54B, RAD51AP1, RECQL4, ATXN3, PSMA6L, SI:CH73-158P21.7, HSF2, ZNF395B, CIPCA, BUB1, E2F7, PLK4, URGCP, LGALS9L1, FHL2A, PER1B, PER1A, ISG15, NR1D1, DBPB, ZGC:153116, SUZ12B, DBPA, LOC100149352, NR1D4B, LOC101884528, CENPF, ZNFX1, PER3, CENPI, TCEA3, MXA, RAD17, MXE, NOL12, HER2, TFDP1B	211	4630	18265	1.383527990746522	0.16769250249294154	0.18342279155598937	0.18342279155598937
INTERPRO	IPR017907:Zinc finger, RING-type, conserved site	9	2.2443890274314215	0.0020279870863560315	FTR73, FTR43, ZGC:92594, FTR56, FTR88, UHRF1, FTR14, FTR72, FTR93	208	189	17276	3.955128205128205	0.5788641009471286	0.28797416626255645	0.28729817056710444
UP_SEQ_FEATURE	DOMAIN:B30.2/SPRY	13	3.2418952618453867	0.002152993203567789	FTR73, FTR76, TRIM35-13, FTR34, FTR56, FTR88, FTR14, SI:DKEY-13N15.11, LOC110437834, FTR91, FTR72, LOC108183484, FTR93	331	335	24416	2.8624971817648914	0.47730103944076996	0.17613557910005417	0.17555041106317693
GOTERM_MF_DIRECT	GO:0000976~transcription regulatory region sequence-specific DNA binding	6	1.4962593516209477	0.0022473498496990403	PER3, DMTF1, IRF3, PER1B, PER1A, CIARTA	196	79	16808	6.513045724618961	0.4403640321265849	0.13104690459296214	0.1295231033767649
